study,survey,case,data_type,stage_id,stage,pnum,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
CCPS ACT,ccps,CCPS ACT Deliberative,Likert,2,Post-Delib,1863,1,4,2,10,3,1,8,11,11,2,2,9,1,6,9,9,10,9,9,4,2,3,3,3,11,10,4,2,9,11,1,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,4,5,3,2,1,NA,NA,NA
CCPS ACT,ccps,CCPS ACT Deliberative,Likert,2,Post-Delib,2355,1,4,1,11,1,3,6,11,11,1,1,11,1,1,11,11,9,11,11,8,1,1,8,1,11,9,7,1,6,11,1,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,5,3,4,2,NA,NA,NA
CCPS ACT,ccps,CCPS ACT Deliberative,Likert,2,Post-Delib,2367,10,3,2,10,5,3,9,11,11,1,2,9,1,2,11,10,6,11,11,8,3,3,6,1,11,11,4,2,10,10,2,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,3,5,4,2,1,NA,NA,NA
CCPS ACT,ccps,CCPS ACT Deliberative,Likert,2,Post-Delib,2380,3,4,3,8,4,4,4,10,9,3,3,7,2,4,7,10,8,8,11,4,3,4,2,2,10,10,2,2,3,9,4,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,5,2,4,3,NA,NA,NA
CCPS ACT,ccps,CCPS ACT Deliberative,Likert,2,Post-Delib,2410,2,3,4,9,6,4,8,11,10,3,2,7,1,3,7,8,6,9,11,1,5,5,4,5,10,8,6,6,6,9,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,3,2,4,1,NA,NA,NA
CCPS ACT,ccps,CCPS ACT Deliberative,Likert,2,Post-Delib,2528,1,1,1,10,3,1,2,10,11,1,1,9,1,1,6,10,11,11,11,1,1,1,1,1,8,4,1,1,10,11,1,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,5,4,3,2,1,NA,NA,NA
CCPS ACT,ccps,CCPS ACT Deliberative,Likert,2,Post-Delib,2643,1,4,5,9,2,4,8,11,10,4,4,8,2,4,8,8,5,9,9,3,5,4,6,3,10,11,4,4,6,11,4,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1,2,4,5,3,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,20,1,-3,-2,-3,2,-3,2,-2,2,3,3,-3,4,2,-4,4,-5,4,4,2,-3,-4,4,4,-5,4,3,2,4,5,5,4,5,3,2,3,3,3,5,4,4,4,4,-5,4,NA,NA,NA,NA,NA,5,6,1,7,4,3,2,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,39,4,-2,-2,2,1,2,2,-4,0,2,2,-2,0,2,3,3,-3,1,5,-5,-2,2,3,3,-4,5,2,1,2,5,5,4,5,1,-3,3,4,5,5,5,1,4,3,-5,4,NA,NA,NA,NA,NA,3,5,2,7,4,6,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,40,4,-3,2,2,2,1,2,-2,1,3,1,2,-2,2,-1,4,2,3,3,-2,-3,2,2,2,-4,4,2,-2,-2,5,4,2,2,-4,2,3,2,4,2,4,-1,2,4,-2,3,NA,NA,NA,NA,NA,5,6,2,7,3,4,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,41,4,-4,-2,2,4,-2,1,-5,-1,3,-2,-2,-4,3,1,1,-1,2,3,-5,-3,0,3,4,-5,4,4,3,-1,5,4,3,-1,4,2,2,5,4,-1,0,-3,4,2,-5,4,NA,NA,NA,NA,NA,5,6,1,7,4,3,2,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,48,-3,-2,3,-4,5,-2,4,-3,-5,5,-3,-5,-3,5,2,3,-5,5,5,-5,5,-5,5,0,-5,5,5,3,-3,5,5,3,5,-5,3,5,5,5,2,0,2,-3,2,-5,5,NA,NA,NA,NA,NA,1,6,2,7,5,3,4,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,53,5,-4,3,1,3,-3,5,-5,0,3,2,-1,-3,2,-3,1,-5,4,4,-4,5,-4,5,4,-4,3,3,-3,-3,5,5,0,3,-1,-2,3,5,4,3,2,-2,3,-2,-4,-5,NA,NA,NA,NA,NA,3,6,2,7,5,4,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,59,-3,0,3,-3,4,-3,4,3,1,4,-4,2,-3,2,-5,3,-5,5,2,-4,4,-4,5,4,1,5,4,2,-2,4,4,-2,5,-4,0,5,4,5,2,-4,3,-2,2,-3,3,NA,NA,NA,NA,NA,4,7,5,6,3,2,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,65,5,-4,4,-2,-3,0,-1,-3,3,-1,-1,3,-1,-1,3,5,5,2,5,-5,-4,1,5,4,-4,4,4,-5,-4,5,5,5,5,-4,-1,5,4,5,3,5,-2,4,5,-5,1,NA,NA,NA,NA,NA,3,6,1,7,5,4,2,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,66,2,2,3,-4,-2,-4,4,0,0,5,3,0,-3,3,4,-4,-5,5,3,-4,4,-3,5,0,0,5,2,-3,-3,4,4,4,4,-4,3,5,5,5,4,-2,5,5,3,-4,4,NA,NA,NA,NA,NA,4,7,3,6,5,2,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,73,-3,-3,2,1,4,2,5,3,-3,2,1,2,2,4,2,0,-3,5,4,-4,4,-4,5,4,-5,4,3,3,3,5,5,-2,5,-2,2,3,3,4,2,0,0,4,-2,-3,3,NA,NA,NA,NA,NA,4,7,2,6,5,1,3,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,1,Pre-Delib,74,3,3,1,3,5,-1,1,1,3,5,2,1,-3,4,-3,3,1,5,4,-3,1,-3,4,3,-1,4,2,-3,-3,2,2,2,4,1,2,3,4,3,1,2,1,0,2,-4,3,NA,NA,NA,NA,NA,5,3,4,7,2,6,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,20,1,-2,1,-2,2,-1,4,0,-3,3,3,-2,3,1,-4,3,-3,3,4,-2,-1,-5,3,2,-4,4,4,0,1,4,5,2,2,2,1,3,2,4,3,2,-2,3,2,-5,3,NA,NA,NA,NA,NA,5,6,2,7,3,4,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,39,3,-1,1,-2,-2,-1,-1,-3,0,0,0,0,-2,0,2,3,-1,1,3,-4,-3,0,0,1,-3,1,-2,-3,-1,1,3,1,2,-1,-1,1,1,2,0,-2,-2,1,-3,-5,-3,NA,NA,NA,NA,NA,2,5,1,7,4,6,3,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,40,4,-3,2,-2,0,1,2,2,2,4,1,1,3,3,2,3,-1,2,4,-3,3,2,5,3,-4,3,3,0,1,5,4,0,3,1,1,4,2,3,2,2,-3,3,4,-3,3,NA,NA,NA,NA,NA,6,5,2,7,4,3,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,41,5,-2,-1,-3,-1,1,5,-1,0,5,-2,-4,-5,3,4,-3,-2,5,5,-4,4,-3,4,0,-4,5,3,0,-1,4,3,2,1,-5,1,3,5,2,1,0,-2,3,5,-5,0,NA,NA,NA,NA,NA,6,4,5,7,2,3,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,48,1,1,3,1,3,-5,4,-2,-1,5,1,1,-4,5,3,1,-5,5,4,3,3,1,5,4,3,5,3,1,-5,5,4,3,5,3,3,5,3,4,2,1,-4,3,2,-3,3,NA,NA,NA,NA,NA,5,6,2,7,3,4,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,53,4,0,2,2,2,-5,1,-5,-2,4,2,-1,-2,-2,0,3,0,1,2,-2,5,0,4,3,-3,3,2,-4,-3,3,1,0,3,-3,0,3,5,1,2,2,-3,4,3,-3,0,NA,NA,NA,NA,NA,6,5,2,7,3,4,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,59,-3,4,1,-1,3,-4,4,2,1,4,1,-5,-3,3,-4,-4,-4,5,2,-3,3,-5,4,4,-1,4,3,3,3,4,1,0,4,-4,0,4,3,4,-1,0,4,0,-2,-4,0,NA,NA,NA,NA,NA,4,7,5,6,3,2,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,65,5,-2,5,2,-1,4,1,-5,5,1,-3,1,-2,1,5,4,4,-1,3,-5,1,2,3,3,-5,4,4,-5,-4,5,4,3,4,-3,-2,5,0,5,4,5,-4,5,4,-5,3,NA,NA,NA,NA,NA,6,4,2,7,5,3,1,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,66,1,-1,3,-3,-3,-4,0,2,1,5,-1,-1,-4,4,1,0,0,3,1,-2,3,-4,5,2,0,5,2,0,2,2,1,3,4,-1,3,5,3,5,1,-2,2,1,-2,2,1,NA,NA,NA,NA,NA,5,6,3,7,4,1,2,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,73,-2,1,3,2,3,3,4,1,0,4,4,2,2,4,1,1,-4,4,3,-4,5,-4,5,4,-3,4,3,3,3,5,3,-2,4,-3,2,4,3,5,3,1,3,4,2,-4,2,NA,NA,NA,NA,NA,5,6,1,7,4,3,2,NA,NA,NA
Forest ERA,forestera,Forest Stakeholder,Likert,2,Post-Delib,74,-3,-2,-1,-3,2,-2,0,-2,1,3,0,2,-2,3,-3,2,-1,5,2,-4,1,-3,3,4,-1,5,1,-4,-4,1,2,-3,5,-2,-1,4,4,3,1,2,-3,-1,-2,-5,3,NA,NA,NA,NA,NA,6,3,4,7,2,5,1,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,1,Pre-Delib,76,1,0,2,-4,0,-2,2,1,-3,3,0,3,-3,2,0,3,-5,3,2,-3,4,-4,5,2,0,3,0,2,0,5,2,1,2,-3,0,3,5,2,2,2,0,2,0,0,4,NA,NA,NA,NA,NA,6,5,3,7,4,1,2,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,1,Pre-Delib,77,4,3,5,-1,0,3,3,4,-2,2,3,3,-2,3,4,5,-3,3,4,-2,5,2,5,2,-2,2,2,4,4,4,2,3,5,-4,4,-1,2,4,2,2,-4,4,2,3,2,NA,NA,NA,NA,NA,5,4,3,7,6,2,1,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,1,Pre-Delib,83,2,-4,5,4,4,3,0,-2,1,3,3,4,-3,4,4,3,0,3,4,-4,3,-2,3,3,2,3,5,0,-2,3,3,3,4,2,5,5,5,5,-3,2,-2,3,4,0,5,NA,NA,NA,NA,NA,3,6,4,7,5,2,1,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,1,Pre-Delib,84,-4,1,3,5,5,3,4,4,0,3,3,-3,-3,4,-3,3,-4,3,5,-5,3,-3,5,5,-4,3,3,-1,-3,5,5,3,5,-4,4,2,5,5,4,4,5,3,3,-5,4,NA,NA,NA,NA,NA,3,6,1,7,5,2,4,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,1,Pre-Delib,85,1,2,4,0,4,-5,3,1,0,4,0,4,0,4,3,3,0,0,3,-3,2,4,5,4,4,5,3,0,0,1,0,4,4,2,4,3,4,2,0,4,-4,0,4,0,3,NA,NA,NA,NA,NA,6,5,3,7,4,1,2,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,1,Pre-Delib,86,-3,3,4,5,4,-4,4,1,1,3,-4,0,3,3,-3,5,1,1,4,-3,4,-4,5,0,4,4,4,4,0,4,-3,5,3,-1,-4,5,4,4,-3,5,0,3,-2,4,-4,NA,NA,NA,NA,NA,3,7,4,1,5,2,6,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,1,Pre-Delib,87,1,1,2,-1,2,-4,0,0,0,3,1,3,0,-2,1,-2,-4,3,2,-5,4,-3,5,4,-1,2,3,-3,-2,2,1,3,2,-4,5,3,5,5,1,2,-2,3,2,0,0,NA,NA,NA,NA,NA,6,4,5,7,3,2,1,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,1,Pre-Delib,93,2,-1,1,-1,2,5,5,3,0,1,2,0,2,3,1,1,-2,0,1,-2,5,-5,4,3,0,2,3,1,0,5,0,-2,2,-5,2,1,3,5,2,1,0,4,3,-3,2,NA,NA,NA,NA,NA,7,5,2,4,6,1,3,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,1,Pre-Delib,96,-4,-3,1,-1,1,-4,5,3,-4,5,-2,2,-4,3,-5,1,-3,-3,3,-4,-4,-3,5,2,-2,3,2,-2,-4,5,2,-3,1,-4,-3,3,2,3,5,4,-2,-2,3,-3,2,NA,NA,NA,NA,NA,5,6,2,7,3,1,4,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,2,Post-Delib,76,-1,-2,-2,-1,1,-3,1,0,-5,5,1,0,-1,1,3,-2,-5,4,2,-3,2,-4,1,2,-1,0,2,-1,0,5,0,-4,4,-2,1,0,4,3,2,-1,-3,3,-1,-3,0,NA,NA,NA,NA,NA,6,5,4,7,2,3,1,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,2,Post-Delib,77,3,-1,0,-1,-1,-3,2,0,-4,4,4,-2,-5,-2,-2,1,-5,3,2,2,-1,0,5,-1,-2,2,-3,0,3,2,1,3,1,0,0,-1,0,5,1,2,-2,1,0,-4,-3,NA,NA,NA,NA,NA,2,5,6,7,4,3,1,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,2,Post-Delib,83,5,0,1,0,0,-3,0,-5,-3,-1,2,2,-2,1,3,-1,-5,1,2,-1,1,-3,5,4,-2,0,3,-1,2,3,0,-2,5,1,1,3,1,2,1,-1,-4,4,-1,-4,5,NA,NA,NA,NA,NA,6,5,4,7,2,1,3,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,2,Post-Delib,84,-2,-3,4,3,5,3,5,4,-2,5,5,2,-2,4,-4,3,-4,5,5,-5,4,-4,5,5,-5,4,5,-2,2,5,4,3,4,-3,5,3,5,5,4,5,4,4,3,-5,4,NA,NA,NA,NA,NA,2,6,1,7,5,4,3,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,2,Post-Delib,85,1,1,1,5,4,-2,4,0,-3,4,3,-2,-2,3,5,2,-5,3,4,-2,-1,-2,4,3,-2,5,3,3,5,4,3,4,2,5,4,2,4,4,3,2,1,2,2,-3,3,NA,NA,NA,NA,NA,5,6,3,7,2,4,1,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,2,Post-Delib,86,4,5,0,4,-2,2,5,0,-5,5,-4,0,3,4,-3,4,-5,4,5,-5,4,-3,4,0,-3,4,4,5,0,5,3,3,5,1,3,4,4,5,3,5,0,4,3,-5,4,NA,NA,NA,NA,NA,2,6,5,7,4,3,1,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,2,Post-Delib,87,1,2,3,1,3,-1,1,2,-1,4,4,3,-1,4,0,1,-4,2,4,-3,4,-2,5,4,-1,4,4,3,3,4,4,-3,4,0,2,5,5,5,2,3,-2,4,3,-5,0,NA,NA,NA,NA,NA,4,6,3,7,5,2,1,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,2,Post-Delib,93,2,3,2,2,3,5,5,3,-3,-4,2,1,2,-3,-5,1,-4,4,2,-1,3,-5,3,5,1,0,2,4,-2,4,2,-4,3,-4,0,4,5,5,3,1,3,4,2,-2,0,NA,NA,NA,NA,NA,5,7,2,6,4,1,3,NA,NA,NA
Forest ERA,forestera,Forest Lay Citizen,Likert,2,Post-Delib,96,2,-5,-3,-2,3,-4,-3,3,-4,5,4,3,-5,-4,5,4,-4,2,4,-5,-3,-4,5,4,-4,1,5,-5,-3,5,5,3,4,-5,3,3,4,3,5,3,-5,-4,4,-3,2,NA,NA,NA,NA,NA,4,7,6,5,3,2,1,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,1,3,5,3,5,4,-4,3,-3,-5,1,2,5,2,-5,-5,5,-5,-5,-5,4,5,3,5,-3,-4,3,2,4,1,3,-4,-5,3,-2,-5,-5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,3,3,-4,-3,5,5,-4,4,2,3,3,1,2,4,-3,-5,4,-5,1,-5,-2,5,-5,1,1,-3,3,4,1,4,0,0,4,4,-4,4,-5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,4,2,5,7,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,6,-4,-2,-2,-4,2,0,1,-1,3,-2,-2,-4,1,0,-5,3,-5,-3,-5,0,5,-3,-4,-1,-1,-2,0,0,3,2,-3,-1,3,-4,-5,-3,3,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,4,3,2,1,7,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,8,1,-2,-2,0,5,-3,3,-4,3,0,-2,3,2,0,-5,5,-2,0,-5,3,4,4,2,-1,2,4,1,-4,-3,-5,-5,5,4,1,-3,2,2,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,3,7,6,1,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,9,-5,-5,0,3,2,0,0,1,-2,-1,-1,5,1,3,-2,0,-5,0,-1,3,0,1,-1,0,-4,5,5,1,-1,1,0,-5,1,0,-3,-4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,10,5,0,-5,-2,-5,3,2,-5,-5,-5,2,5,5,5,-3,5,0,5,-5,5,5,-5,5,2,5,-5,-3,5,-5,-4,0,5,0,5,5,5,5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,6,5,7,1,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,11,0,-5,0,0,5,-2,-1,0,0,-3,-1,5,2,-5,-3,5,-4,5,-5,-2,2,-5,0,0,-5,0,0,-5,1,-5,-3,3,2,1,3,-5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,2,7,4,1,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,12,-3,-5,-1,4,4,3,-4,-4,2,1,2,3,4,-4,-3,5,3,3,1,1,3,0,0,3,-5,4,2,-4,1,1,-2,-2,5,3,1,-3,-1,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,3,7,4,5,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,13,2,-5,0,5,5,-4,-5,-5,3,0,5,3,-5,-5,-5,5,-5,3,2,0,5,3,0,0,-3,3,0,-3,0,2,0,4,0,0,2,-3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,6,1,5,7,3,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,14,0,-2,5,-3,2,2,5,5,5,-4,-4,2,5,-5,-5,4,-4,-2,-3,3,-5,5,2,0,1,5,5,4,4,1,-2,4,4,3,-2,-3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,7,6,2,3,4,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,15,0,1,-1,5,5,3,-5,-2,2,0,2,3,3,-5,-5,5,-3,-3,0,-3,5,-3,-2,2,0,-1,-2,3,-1,-2,-3,2,0,0,0,-3,-1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,7,6,2,5,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,16,-4,-5,0,5,5,-5,3,-5,5,-5,-5,-2,4,-2,-5,5,0,5,-5,-4,5,-4,0,-1,-4,-4,0,-2,0,-4,-3,3,2,0,1,-1,-3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,5,7,1,2,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,18,0,-2,-3,5,5,-2,1,1,4,1,1,-2,4,-3,-5,4,-5,-5,-4,-5,5,1,4,0,3,2,5,-3,5,1,-3,-3,5,-5,2,-5,4,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,7,3,6,5,4,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,19,-2,-3,-5,3,5,-2,2,-2,3,-1,-1,3,3,-5,-5,2,-3,-2,1,-2,-1,-2,0,1,-3,5,-3,-3,0,0,-3,0,4,3,4,2,-2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,3,7,4,5,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,20,0,0,-4,2,5,-3,4,-4,-5,0,0,5,3,4,0,5,-3,3,-5,-4,-5,-3,0,0,-3,4,3,-3,4,3,-5,1,-1,4,4,5,-5,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,2,7,3,6,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,24,4,3,-1,-5,5,0,2,2,2,4,2,4,2,5,3,2,3,5,2,4,3,4,3,2,5,4,5,3,2,2,2,-3,5,-3,0,-5,-5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,5,7,3,4,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,1,Pre-Delib,25,-2,-5,0,-3,5,0,5,-4,-1,-3,-3,0,3,-2,-5,4,-5,0,-3,-2,3,-2,1,0,-4,5,1,-3,-1,2,1,4,3,0,2,-3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,3,1,2,7,4,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,1,2,1,-4,-5,5,-4,3,-3,-3,2,1,4,2,-5,-5,4,-4,-5,-5,3,4,0,4,-1,-5,4,3,3,3,-1,-5,0,5,-2,-5,-5,-1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,6,7,2,1,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,3,-3,-1,-5,4,5,-2,2,-2,1,-3,-1,2,3,-5,-3,3,-5,1,-4,-3,5,-3,-4,-3,-4,-3,2,-3,-3,3,-4,4,5,-3,2,-5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,3,2,5,7,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,6,-5,0,-4,1,3,-4,-2,1,1,-2,-2,-4,-2,-5,-5,2,-4,-3,-5,-4,3,-4,0,-2,-2,-2,-2,2,-2,0,-5,5,5,-3,2,-4,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,6,5,3,1,7,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,8,-2,3,-4,3,5,-1,2,1,2,2,2,4,3,-5,-5,5,3,0,-5,0,5,4,4,-2,3,1,-1,3,3,-3,-5,2,5,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,5,7,4,3,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,9,-5,-3,-5,-2,0,-5,2,-5,-5,0,0,5,5,0,-5,5,-3,1,-5,0,2,-3,-5,-1,-5,0,1,2,-3,2,-5,5,3,5,-5,-1,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,5,6,1,7,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,10,5,0,-5,0,-3,-5,-3,0,-5,-3,0,5,2,5,4,5,0,5,-5,0,5,-5,5,0,5,-5,0,-3,-5,0,-3,5,5,5,5,0,-1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,5,6,2,7,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,11,0,-1,-5,0,5,0,0,-2,-2,-1,-1,5,2,-2,-5,2,-1,5,-2,1,5,1,0,2,-1,1,0,-5,3,-5,-2,0,5,1,0,-5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,7,5,6,3,1,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,12,4,-3,-5,5,4,-2,3,0,4,2,2,2,5,-3,-5,3,4,-4,-5,3,-2,-4,4,0,0,-4,2,-4,4,-4,-4,5,5,3,2,-4,-2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,6,4,5,7,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,13,-4,-4,-5,5,5,2,0,-3,2,-3,0,3,3,2,-5,2,-3,1,-2,-4,4,-2,4,0,-4,-4,1,-2,3,3,1,3,4,-2,5,-2,-3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,7,6,5,1,4,NA,NA,NA
UBC Biobank,biobanking_mayo_ubc,UBC Bio,Likert,2,Post-Delib,14,4,-5,-1,4,5,3,3,3,4,-5,2,5,5,5,-4,1,-5,-2,-5,5,-1,-5,5,-2,2,-5,3,-3,5,-5,-3,5,5,1,-3,1,-3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,3,5,4,7,NA,NA,NA
