case,stage_id,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49
Activate,1,-0.008877905665621855,-0.010650181835622607,0.00379278790219284,0.006710183631511102,0.004843977935585775,8.611145421590916e-4,-0.006658641321738656,6.231515215811001e-4,0.011811439904278798,0.002388927952856834,-7.991104215632205e-5,0.00751721719379117,0.00718124327995584,-0.018837914735384098,-0.018732262253912557,-0.0045688522444828905,0.004731052780075684,-0.011325712297187707,0.007327900995399261,0.0016885666593264848,-0.0037987592368244893,0.00023816712261948147,0.0022812555052971195,-0.006100059480861564,0.004388461126658472,0.005006071602881246,0.002767650410834044,0.004269979687994585,0.010366811612858573,4.411192826059285e-4,0.001235083092884448,-0.015120238712306833,-0.005054539560974014,-0.025742858067336893,-9.722635086730769e-4,0.006605105721511295,0.004642412943645535,0.011739949027484764,0.002013335629651669,0.004014689311541142,-0.007868206355287066,0.0027606507877264708,NA,NA,NA,NA,NA,NA,NA
Activate,2,-0.024240834027923652,-0.010189755215308516,0.008404862121854428,0.0049088310095810606,0.003840991937736904,0.0036986034406065738,-0.005122488809791381,-0.010249376220680784,0.00890569738134972,0.00394640801499091,0.0017851112216302756,0.00904357725247551,0.0023898354875409034,-0.009192603910691544,-0.016787485240467692,0.0018424177378173479,0.005446072073360675,-0.015551117868483955,-0.0018322276504965096,0.002349493725233298,-4.5297941302968603e-4,0.007212299449904647,0.004792695474673092,-2.141494988348036e-4,0.006330071856913921,0.0017913238625399952,0.0036027625245931283,0.007415351391801828,0.011642916511630741,0.002954320049582959,-0.004397365949613263,-0.024474594097755542,-0.012960622584755166,-0.025161208330712892,-0.008572691566472779,-4.5886284777996167e-4,0.007782101689224774,0.014565926918831629,0.005977400626200335,0.0023086584930127607,-0.02144030091309368,-0.0017607137784010352,NA,NA,NA,NA,NA,NA,NA
Standard,1,-0.009133462504430812,-0.012788213530661174,-9.257318528788083e-4,0.007906111449540676,0.0015161497984590433,-0.0022008957394850093,-0.009560240453297508,0.0024385213176885134,0.009646486357138828,0.003756116131789611,0.006306429659368229,0.012827341324151309,1.7995366660739087e-4,-0.008924500626432907,-0.017528435572579326,-0.016920981937489366,-4.494994176942324e-4,-0.014009657901482786,-0.004436781884647578,0.01132085929358273,-0.004023518510310131,-2.5999123581410544e-4,-0.0014904020095287684,-3.2658884616987294e-4,-0.013154107449294461,0.010882320867927398,-0.003512587973654835,0.006037444790015778,0.0030034553609072923,0.007937868764945177,-0.014020583084628724,-0.01712849410345907,-0.01385012017777254,-0.026246646051180322,-0.006492944001662115,-0.002223890474161161,-0.004035230279543001,-0.004807869201039372,-0.00329369065191365,-0.002125542271412151,-8.186501459672701e-4,-0.00103075440333944,NA,NA,NA,NA,NA,NA,NA
Standard,2,-0.020295315249002632,-0.006160890323872126,3.2617021650271916e-4,0.00505786980972367,9.608196126460467e-4,0.0027233773070975964,-0.002185940773555828,-0.0065316158096806465,0.0043099185293480335,0.00698637799611479,-0.001462317349886444,0.008739645538156537,0.0021886779840254444,-0.0033380398267215394,-0.006122380900450475,-0.001146019826138378,0.003427317300337629,-0.013126683045038057,0.0032595754546844713,-0.005152137032342852,-5.039232061618826e-4,-0.004504910699242304,-0.0045980432587438,9.077490173619029e-4,0.002061864541909486,0.0061365102071757605,8.90612606043506e-4,0.004830973069078537,0.015342091709892092,0.00841485774548767,-0.010313064917422343,-0.022397383585054387,-1.644328126944039e-4,-0.009414353935891961,0.002929064956430194,0.006293653403342203,0.0025862826653886284,5.177907553293171e-4,9.444492916723668e-4,0.006647833795675684,-0.012142651364510648,-0.0037095999816958436,NA,NA,NA,NA,NA,NA,NA
FNQCJ,1,-0.01744272837119587,-0.022506483243998177,-0.008571001411834311,-0.0030886833099608157,3.520042346126795e-4,0.006914726234988011,-0.005986577412621874,-0.014317098654238802,-6.201368837341903e-4,-1.7063280567275463e-5,-0.011108603155185914,0.0033681355866417295,-0.0010673420580423754,0.004747870660997133,-0.0030949500812106345,0.01199894014494518,0.012258008803256115,-0.009981198991265483,0.01604596303944905,-0.003986207203100278,-0.005496319042562203,-0.0029604424923904693,-0.004510808150098855,0.016927101055506766,-0.004965837680174112,-0.006435755534459742,0.0010375556281070342,-0.006982477942932719,-0.0016993621566304684,-0.002836058134328634,0.002039231526967278,-0.007259017538741919,0.008890262071347133,0.004299502687340362,0.0024494963888884724,-0.0034235465116939645,-0.0030445088483125327,5.392586818143696e-4,-0.009525838100547857,0.017533650599343864,-0.006606939230328179,-0.011847056919580767,NA,NA,NA,NA,NA,NA,NA
FNQCJ,2,0.0038223283493339366,0.0010417383810426006,0.0015317108379944155,-0.012411102338443225,5.449040714762265e-4,0.011422486487675076,0.005917759721119298,0.01474265786086626,-0.0167128852337719,0.00999819826321735,-0.010801302019834313,-0.012161177092278042,0.0015123923995865596,-0.008566123246572799,0.013944282163987243,-0.027589677481564046,0.01007089102404679,0.014487004039019702,-0.013135097459335165,-0.0013602243374131184,-0.002614146604149159,0.0040844833903537214,0.013284590140711927,-0.027882735028485373,-0.023494257027974363,0.029696340862782833,-0.009749909007418012,-0.0037674404270522377,-0.01295504573954509,-0.008007650085975593,-0.001125624247501289,0.00354878318364249,-0.032844290665843046,-0.0018598871175703469,0.005799341000091829,0.0025713884686844324,0.017375164022152223,0.004196569460461097,0.009446471492288389,-0.03251221272951099,0.03365195478397065,0.017118408738705293,NA,NA,NA,NA,NA,NA,NA
Citizen Parliamentarian,1,6.792840158951208e-4,0.0014235459609797108,7.157350500450743e-4,0.004909528597016877,0.0028584974885972336,0.0014248727627863556,-0.0013862781588938056,0.00565800717856324,-6.507372078690121e-4,-0.004423672429195946,-0.0012775480498354863,-0.0025656796551911665,-4.8214387025069527e-4,-1.9065003292073612e-5,-0.001692091017449826,-0.0025958345791872173,-6.228355285988751e-4,5.648609720743103e-5,0.0018752629794904774,3.027134959565636e-5,-0.0012541757946797905,-0.0021463558354242185,-0.0011036737096128402,-0.0036653866930440593,-0.0022921816494752,-0.0013930172529534879,-3.7155046039050177e-4,-0.0014896852142736172,-0.003492066761580981,-0.003490188497059954,0.007263177610252969,-0.005472384088409665,-0.004175510984870456,9.592549927821548e-4,-0.0024921780260656057,8.934959030604261e-4,-2.6808826649737938e-5,-0.002656558293716804,-0.005166206968166165,0.002311021590765794,0.0015280456076234294,-0.001556733582372738,-0.003553019159484805,-0.006242187849143432,9.85490001676137e-4,7.841197954916446e-5,-1.58941521883893e-5,-6.017036511751783e-5,NA
Citizen Parliamentarian,2,0.0017838861692627273,0.004890103048639349,-8.141432160576612e-4,0.006300656387289161,-0.0033803200917520426,0.004796773145810951,-5.65224794618846e-4,-0.0027743846583704324,-0.002562976894330382,-0.00455237235141881,-0.007101637138837491,-0.0016012267383046508,0.00962633351856601,5.121083928001369e-4,0.0017337998052282533,4.483464657312197e-6,0.0064849654942523705,0.00421729173454044,-2.1407525522387783e-4,-0.0033111787701839424,-0.0041610858916730775,-0.00311552763123224,-0.0014034569483750703,0.006073211010002466,-0.005618663020992676,-0.006863830877809396,-0.0011480188233835564,-0.002279493704510749,-0.002377771780144866,-0.0019622371994221233,0.006092830533237503,-0.0033405836808534373,-0.006040200122539696,-0.0028607411059898835,-6.071894249463083e-4,3.7607998406330445e-4,-0.003661209285580891,-0.0022655814591614476,-0.0025987914221644592,-0.002282798557689536,-0.0031572446702750057,-0.0017151394941133935,0.006117208416517861,4.6992119365762974e-5,-0.00420206312492899,-0.002232327981804172,-0.005613435843677794,-0.003975938309575988,NA
CCPS ACT Deliberative,1,-0.014373691672302291,-0.004122206267250128,-0.002093000848487625,0.0017212622212694484,0.002461991192555857,-0.0026509350741996673,-0.0029396296110983933,0.0028676843218808923,9.287377632039018e-4,0.005285617005566845,-0.005620644694406707,5.163103061587293e-4,-0.006069556014257627,-0.005994819448501776,0.001078858074613942,-0.011454048679148343,-0.0027105320345146566,-0.002286687298376444,-5.548723841350967e-4,-0.0032223764718977144,2.769852743427226e-4,-9.045349484886334e-4,-7.30207765694324e-4,-0.00826252977611519,-7.660561734839089e-4,-0.009118723825326747,0.0013300952181583003,-1.1731774622880664e-5,-0.0033573071771080265,0.013483067750491351,-0.0016679620255981575,-0.0037425050530812687,2.1321976604515847e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCPS ACT Deliberative,2,6.155991582867948e-5,-0.0010687930567669923,-4.169750039426656e-4,1.3468432151442222e-4,-2.4720143372403136e-4,-0.003998393928752453,7.546786963603669e-4,-0.0018987641766876617,1.245606129163246e-4,-0.0018630719642496185,8.890472923077652e-4,-3.412325054474863e-5,0.002604916745863717,-0.0014999676854132726,0.0013997161157395244,-0.0065883173609360135,-0.005773741526012621,0.0029261463535881216,0.0028480484686079777,-0.0032847615594366886,-0.004756957486361513,-0.0025311093875963753,-0.003949879023819491,0.0036740885632338127,-0.0053535905429953345,0.0012432325247626608,0.0020800209673768055,-0.0033369166525052396,0.0010531420301558292,3.919572290294049e-4,-0.0022473952063817304,-6.106798707339323e-5,-0.0024611103976128756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
