case,stage_id,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49
Forest Stakeholder,1,0.01631826313471163,-0.018695473233271587,0.004688095051762042,-0.0036451582064320753,0.01296592957246867,-0.0055948439814410555,0.004381075103181642,-0.007987935556058146,-0.004843367500276363,0.007142748717437364,-9.457572650204416e-4,-0.003340820614289308,0.0035298598209425602,0.004182850834784535,0.0032852204836941734,0.009459910254960624,0.0050982237774195305,0.007291119477713437,-0.004804992284078713,-0.02097476451281266,0.02030056798366453,6.406051492513498e-5,-0.005388617485341696,0.001500761154843877,-0.022596098281301158,-0.012022323680412228,-8.834872466469967e-4,0.002724948991211118,0.008392998847785771,-0.02682964267364918,-0.023235480065490144,0.0073836060219256705,6.966706441686732e-4,0.010676140874757989,0.0030479382890433726,-0.0014458956559515457,-8.192232714825387e-4,-0.012332026565499588,0.0083132255414331,0.018275503931776793,0.0113313468546683,-0.0014653914863722584,0.008822538199454444,-0.028356376136801087,0.012044779620561386,NA,NA,NA,NA
Forest Stakeholder,2,0.031763613091155385,-0.001878631026069666,0.00422570181125459,-0.0017081560054308387,0.010914421652436168,0.001853401022711365,0.011018756636907767,-0.0016050396670777012,0.011442280902118851,-0.012492190732029007,0.0054082015830050345,-0.005451859155779282,0.0035995520799376735,0.010496955626196014,0.019830252805163928,0.016430847883471378,-0.0038200962209129496,0.0019719418400898636,3.790487775614526e-4,-0.015486261964835712,0.008431933129098734,-0.004107933703598521,-0.017336006352406175,-0.0037891471127156073,-0.01423092713551144,-0.021280117211315952,2.1261101538350147e-4,-0.0012542191509581357,-0.001565212426448248,-0.02234191936756269,0.0037639256077279803,0.007674456795922158,-0.009076153524259611,-0.005837480629562686,-0.0012397095797120894,-0.022905401791570412,0.003348228715982726,-0.014619923305226656,0.005226981119094365,0.005477564473976182,0.0023913823356738195,0.0023664419566025163,0.016282658771630265,-0.026478457435877845,-7.651276849620636e-4,NA,NA,NA,NA
Forest Lay Citizen,1,0.0024758880679829343,-0.0016856799191073968,-0.006678280431269501,-0.018962398847055972,0.0035617050625131874,0.015486104570273884,0.0043327897497456025,0.0020469936552167667,-0.025138232870145716,0.00372081454367712,0.004511512307676435,7.462212033502169e-4,-0.024853787964838947,0.002022596500443452,0.012806283906891203,0.011673206311258788,-0.030892243981751832,0.007507934336325572,-0.004301420062516437,-0.04430531974989438,0.011871252483642625,-0.005738977199140738,-0.0179796522155371,0.002734472331821225,-0.0035980163827746825,0.005749996227428111,8.711051705359019e-4,0.0052077243465493694,-0.005199766386190241,-0.0016211600711206753,-4.167519093445371e-4,0.008876934465223751,-0.008333025455319554,-0.018338723284083702,-0.0013958816606438607,-0.004371724373256836,-0.007106623921266042,-0.0073583112443200704,0.002615153974206974,0.010576137228742288,-0.013145673224450594,0.006247699288478792,0.004619017629392763,-0.010196978384412025,-0.0021335964712327904,NA,NA,NA,NA
Forest Lay Citizen,2,0.0036020409238652906,0.01761806397846244,-4.442611067301261e-4,0.013973907882607106,0.010725896780767519,-2.2022944943245193e-5,0.004854750268270536,0.007226487423998229,-0.04554075042118266,0.015206387365165108,0.014006293082333032,0.0033029515172662283,-0.016819257931946385,0.01355015246879332,0.010555080226763103,0.005200241104147407,-0.05346619811919284,-3.5088686812856373e-4,-0.00660976578477368,-0.017729152973415596,0.00909894166948999,-0.031707169832092985,-0.019134643913988558,0.010255709539668034,-0.02785482268920214,0.01107780215220111,0.010020877113441573,0.023985415774345542,0.015502350162515555,-0.023133879059841433,0.005778588601996537,0.022179311523055967,-0.006786005563682362,0.014176983590726389,0.011018612926754878,0.0066914538077309516,-0.00618999686172228,-0.024924467223329083,0.0030076971009111997,0.00741427830957031,-0.013552904355150108,0.007631392725129693,0.0023774880730977888,-0.04364614281167678,0.009215779296279925,NA,NA,NA,NA
UBC Bio,1,-0.004589929318274288,-0.008320081702694937,-0.0024064431575128165,-0.004587316638828831,0.011231592359741693,-0.0033346462979602087,0.011623281841664834,-0.0028978183760262066,-0.0030072841389312543,-0.0023495933856623186,0.004780900540444888,-0.021437782843878983,-2.800167390000219e-4,0.012125852640466839,0.0028524277051154012,0.007081059416224056,0.00563321869618183,-0.004718693283615849,-4.0555835791833417e-4,0.0049362552517215885,0.004237103963404598,-0.012165028643896347,-0.007051540898085573,5.819181406199192e-4,0.006798333403984058,-0.02136390877305816,0.00256598662739016,-0.004284871834466797,0.0036734765743378084,-0.006140652192136553,-0.004079818241287558,-0.014265068106896539,-0.0032104994508013185,0.002240040116223474,-0.009685193595020847,0.006561874882473617,-0.003883388029656043,0.008392119571009049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UBC Bio,2,-0.0027293171721740617,0.006747890432961423,-0.01973980716500834,-0.004338587988442555,-0.006147920321696754,-8.600453917420037e-4,-0.0035813858807611787,-0.00310946470783402,0.008855666492417091,-0.002716751598677236,0.0013696955582898074,-0.01975810536725109,-0.0016072572713101696,0.012564183398018125,-0.005265220223033218,-5.341433836698606e-4,-3.5120234957042307e-4,0.004980216256218251,-0.0011710882437310222,0.007932838449534074,-0.010590341011145199,-0.0036951373542295496,-0.002530540492286404,0.002582816108885444,0.004831390413571723,1.3698263125117016e-4,0.0027907303858523136,0.0026426358766646896,-0.001854306229403413,-0.0025061587571018062,0.002693166971763805,-0.008697977311207028,-0.016650411251742714,0.007568647895538794,0.007787283523741584,0.0035479425045783497,-0.004091522103900402,0.003391921904489781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA Stakeholder,1,-0.008066183640877966,-0.0048850034652718755,-0.006618130630344998,0.008767574320167393,-0.012600436170949969,-0.0033898160240657393,0.005618923645490659,-0.007025062297491891,-0.0024111455007169713,0.0017877789393601073,6.1835580154046e-4,-0.015040492585500331,-0.0027244886560122694,-0.013431568724692422,-0.013812702888887474,-0.0012934926674150748,-8.379261655557801e-4,0.010950473183014342,0.0015609150801580984,0.005199791555983824,-0.012862157350929992,0.006634649136029402,0.005024486472134937,0.00224013072082041,0.006157481388674224,-0.0015413872226346381,5.052668759748524e-4,-0.002819857158360861,0.00584215510280317,0.011531183555659519,-0.007104509869785058,0.002519048775766475,-0.0015828540494875476,0.005446575610811966,0.008347283883121781,2.0036612790796937e-4,0.005278930337594634,0.008948548752033547,-0.017923728622299517,-0.019573987104537505,0.005969344040009483,0.003106668023428183,0.006423563592843129,-0.007329811410230036,8.827414715342208e-4,2.0395337149436976e-4,-0.004384190617592987,-0.002742565126246488,-0.0020746767180614967
WA Stakeholder,2,-8.423712070821932e-4,-2.4571762996616897e-4,0.0035130880951279586,-0.007352259589151089,-0.03217246552870723,-0.014556895580176032,8.447184974391675e-5,-0.0015014449754331416,0.0016785739716100867,0.01023095013861175,0.003390100439532695,0.001060097759930656,0.003707825632314421,-0.028001878215003106,-0.0148450762456791,0.006603672383721504,-4.708594400699706e-4,0.004998030566116141,-0.004854876819318177,0.00968005522312354,-8.156194755530866e-4,0.012962379478294261,0.0020872951972688014,2.6374158943620607e-4,0.005571361592424218,0.010578242925900039,0.01239274300790938,-9.225977331921431e-4,-0.0013953338753418532,0.001385769174822471,0.0032173050071655496,-0.004890890120806901,0.002268855025240546,0.013535406102823888,0.00900503938855457,-0.015106856942761482,0.002767683397678189,0.004190344847199823,-0.019259952916110157,-0.011951728939964434,-0.0019689403238765113,0.010461832921027536,-0.003034766985303916,-0.013528729300356312,-0.006479013306478265,0.009760900062585565,0.0041513083694582065,0.005990435062691368,0.005271621624099332
WA Citizens,1,0.007811013630718566,0.001935862734299576,-0.00445060722161883,0.0030140807326446417,4.526740099906057e-4,0.007345624100969506,0.013087786617855146,0.009558215892734756,0.0017958535986477564,0.003101831832669877,-0.0026378512414539923,-0.01168407951632755,0.00408552611401003,-0.018722294832197006,-0.017898396050681553,0.0060897411817637526,-0.005011738745115846,-0.005017847662091457,-0.0041635712001193426,0.0117730163010481,0.009431313897479754,0.01522308214922008,0.0016424990963281871,0.006339907542628032,-0.008849730887381169,-0.006918131897343693,0.0036455561056925045,-0.0017787692361412866,0.004669585870171744,0.0013720025028178817,0.0038379013035552134,0.012780642036297696,0.006553731351798486,0.005991265944994328,0.006381821063794257,-0.006680472480721011,0.0011110754799168454,5.860121538434626e-4,-0.00959155692034841,-0.03101811427021084,0.006741467377253452,0.0063316518023177615,0.0030568694957955334,-0.01986356009353485,0.010573915691315161,0.010676697591456508,0.01204451984697208,0.005719434609574581,6.397810056262276e-4
WA Citizens,2,0.008653289529389152,9.909420513802836e-4,-0.03238459031664864,0.015439582252580797,0.007174639669548677,0.005123764628124139,0.0016301210370401886,-9.636731878031046e-4,0.0021737066587383946,-0.002346262421017986,-0.002168470025725844,-0.0074393481663617145,0.006233393594993419,0.0018765200975849883,-0.02264598567552789,-0.002488809061901298,0.006664187273200506,0.007149886767899627,-0.010947877637544678,0.02069503550273999,-0.019577781315236686,-0.02426539584127707,-0.01222179194629991,0.011700602581115493,0.004726773611230861,0.013038060930290252,-0.0019039403199305749,0.00196691596367371,-0.01252213123012047,-0.008635157504745639,-0.008411621839730099,5.14617356402125e-4,-0.016916102237026776,-0.002344259237560431,-6.834587268882419e-4,0.020535069107435078,0.012488103309858722,-0.0034420886423029984,-0.032236433086841876,-0.017597441932936997,0.010858233752546242,-0.004369372591429332,0.003393216944388433,-0.00370956468595951,0.005275081224557443,0.0012544959164184633,0.007585843631919165,0.004820391409805502,-3.4788835257271167e-4
Mayo,1,0.008365200771100367,-0.004884084007755529,0.007858860001062729,-1.8424359951541014e-4,-0.019110523925792933,-0.009674679638744577,0.014144970332135687,0.003915618031346657,-0.008379225949391333,-0.002598695015002095,-0.0012804447250747142,-0.0017037198640457163,-0.012375515775290946,-0.020478196758531908,-0.02171275015321017,0.010301570693990625,-0.008149411196715528,0.005647063573822386,0.003631955750228455,0.0016592258719301256,-0.010130800660193007,-5.811367319243921e-4,-0.001375195384899719,0.0033418254907686684,-2.2026576693634503e-4,-0.019039148925299676,-0.0022386273247476662,0.001463707820120952,0.006420615328821544,-0.0016055461606159227,0.003628738895733452,0.005616209526469351,0.005256758570115094,0.016284125675252614,0.00937526747003714,-0.01716026109045443,0.001699335133438229,0.0037471874161956187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mayo,2,-9.74342996656663e-4,-0.003888224013895991,-0.007749801061138983,0.002552865231166601,0.0119036453643937,-0.002835829975255333,0.00783429763741661,0.0024707630809130965,-0.009986051109253546,-0.002437243755519569,-0.001072995569904256,0.001470633474319527,-0.0019258981081187176,0.005079799934580631,-0.009188956230201883,0.011644162524854895,-0.004478362193655716,-0.0018572608586902017,-0.0014703853410091838,0.00777898425884449,0.017748880423279934,-0.004693991480714699,-0.01475888712220641,0.0026933761421461533,-0.006198344989995386,0.01216875913989024,0.008290211226975597,-0.0175964115826579,-0.0017766690414231512,-0.00711959039909793,0.0012937430551338558,-0.011758584823253537,-0.010670318742509233,0.0028605167312356627,-0.0020869498368645267,9.088729201029988e-4,0.004918426010786181,0.001872706226192733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USTER,1,-0.006642772676119346,-0.035460211479265924,-0.013993431011192214,0.005765771246804885,-0.005570927948261195,-6.35492126221715e-4,3.037286210538781e-5,0.0018778368408487456,-0.004523529002306015,0.017587697431172833,-0.013733275022868252,-0.009026891616893407,-0.002109465042692271,-6.549050580235694e-4,-0.019688442115778138,-0.0012733506358255653,8.47357077639721e-4,0.010352544626196059,-0.002398843019506103,0.009044927162852323,0.0033085471977267744,0.0056685114987602425,-6.296976737316662e-4,-0.004028007427815394,0.007582655819600159,-0.013391644462829477,-0.004615203641967991,0.009099952324821636,0.02259232036510439,0.0040178684555938204,0.009138560439704513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USTER,2,-1.4611694084853966e-4,-0.04213745939512714,-0.014508445984791951,-0.002363604984897849,-0.0020380497197922676,-0.009251011852627666,-0.006164914694986923,-0.004574324596466672,0.0015954286936714634,0.004672698603841896,-0.013132898662117531,-0.008617215285114277,7.108270212707879e-5,7.052454046803103e-4,-0.014790012829382082,0.0020535090766957698,-0.0034273775230544423,0.00623439954882854,-0.005806863180563671,0.011605070840051912,-0.0016431123037068396,0.004159882752977406,-0.0069812977465331105,-0.017978021023693946,0.02003824130698484,0.004840470766067861,0.004008253124861527,0.006406556687215348,-0.0071965184457498665,-0.004146630892126524,-0.005110840950647733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thalwill,1,0.018754387642872183,0.03986597780106771,-0.0017242268560090368,-0.029746484027653564,-0.021748667129523502,0.007449749039541653,0.031004428684916263,-0.025908491365116082,-0.017317238434012006,-0.00659902906126375,0.04172123024925556,-0.011117753265392327,-0.0015787295730500528,-0.012084239498567961,0.015342624102834712,-0.004609774987726634,0.004169271520507722,0.009629351592492674,0.020495439262239956,-0.015535958046236087,-0.008545749795371593,-0.00883676238309028,-0.007332752372918194,-0.0019670249691923214,-0.01951252722035779,0.0015140569012205285,-0.02068363301409104,0.01009914397489664,0.006642198302801217,0.00872843791765121,-0.004792969558043869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thalwill,2,0.003375179043615062,0.021779564235861804,-0.006456905733117857,-0.010773909171636453,-0.01797899174047002,0.004709437881692313,0.018991795487161678,0.0018138466536835596,-0.01693853431239356,-8.680139214199967e-4,0.020189317366110293,-0.008502941441030809,4.2509622504360856e-4,-0.012989875306840482,0.019481722673613366,8.159229589616013e-4,0.00599427911484729,0.009703180063810435,0.006878030908439414,-0.013999366134804903,-0.0126796288865344,-0.01179192295481657,-0.002056686564446575,0.006822034037134661,-0.005762415089429984,0.004180491465999303,-0.014436663181976339,-0.007570839931759443,-6.5766909042142e-5,0.00332388384528004,-0.004443805790545818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winterthur,1,-0.010429880643183509,0.02464597332057661,-0.004338695169684659,-0.026988533712033025,0.030224816230874918,0.01194131326477077,0.013240137409798125,0.010875895733507335,-0.009478719155228799,-0.011592198187140523,0.013334054020170738,-0.002549743281172301,6.081736109009306e-5,-0.004913391205615625,-0.005474718347641794,-2.715578270700014e-4,-0.012149752897256061,-0.007728735038200263,-0.009715990136045738,-0.0031035163331445403,-0.013239212518908472,0.003258271031938209,0.006499738212933259,-0.005100811405629679,-0.004713460586101448,0.016747305726835915,-0.008152661447387466,-0.0033976719465955707,0.0052662784057757595,-0.013297738514988389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winterthur,2,-0.001874180739573461,0.0040128450974616925,-0.0010176980801002156,0.004409730369494325,0.0018375443739762076,-0.014014723950113384,0.001016272246527894,0.007725290890292502,-0.004617372604569958,-6.278542026603162e-4,0.0108699135795427,9.463453971334523e-4,-0.003719866391070248,-0.009210789176156364,-0.001973809920740477,-0.0027624498862841573,-0.005214026273921313,5.503259442138919e-4,6.013243414055847e-4,0.003996615809881421,0.005386983463613104,-0.012528466603092925,0.007419344807630068,-0.010521819062145443,0.002182227574112572,0.017125834637754966,-0.010237620391191582,0.004447372502873526,0.0067689165734801104,0.004515939824454529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellinzona,1,0.003820580228325765,0.0020209431887494578,-0.005464436969883302,-0.007599358811389845,-0.02034356766547174,8.85435792185918e-4,-0.004266940829493748,0.004723625491082961,-0.006481522856272459,-0.014367479049731235,0.0028775858394434195,0.006268674263751217,-8.525576455480355e-4,-0.0010162096926062958,-0.0017000285009560745,0.005280398477492065,0.009084767210318478,0.009268864244008634,0.005848841732682519,-0.010425879158107776,0.013791878310885464,-0.017597503125985403,-0.02692502266699459,0.0064121742519740454,0.0041632824094808285,0.001182324633953069,-0.0043297228419825196,0.008323490050874405,-0.011547435012672747,0.002200713170827484,0.007321003192009012,0.006005126663308102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellinzona,2,0.001483062081401476,0.004689111987500105,-0.0028224631823003943,0.00206073062849077,0.0028106687553295373,-0.0016434822990383235,0.0018889790571876564,-5.573432737531192e-4,-0.002383356031612438,0.0012230372071719842,0.004700329854557372,0.0014684739995802776,-6.061858673938048e-4,-0.009133321645272474,-0.012380529220516134,-0.0031674421073408787,-0.006508296233045385,5.964150601918128e-4,0.007526629596308565,0.0017193695230701689,-0.02942488474203575,-0.004199481121591742,0.0026134506917583344,-0.004151578773428755,0.004859071421973393,-0.001966608729920827,0.004191806086985439,-0.002668051005014993,-0.004287392475713414,0.0012850502175829615,-0.007119292632335794,0.0036586197312604707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aargau,1,0.01040101775613178,0.003836950795413241,-0.016020535637680577,-0.012448690904218296,-2.8841661606104907e-4,0.0025287994787306367,0.011491693558642435,0.007000382532108107,-5.252754954776506e-6,-0.001838105088532327,-0.01940887224833343,-0.008956226346091611,0.0054041434881484385,-0.0019000332026160027,-0.00529497116786759,-0.004559005182255271,-0.011058777859025426,0.0012436491929006532,4.4192511633944775e-4,0.004824067858011372,-0.006863888572570698,-0.0031744421997115246,-0.0014433882138558118,-0.006516088684163979,-0.0030558991150464454,-0.014151327085411003,0.002119838834320653,-0.00219598608223448,-0.0018553988689402612,0.006788446818760674,0.015928681241825338,0.02796161037945244,0.015369669378645368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
